jobma_catcher_id,is_premium,subscription_status,company_size,sub_user,wallet_amount,is_unlimited,subscription_sum,subscription_count,recorded_interview_count,live_interview_count,invites_count,interview_done,pre_recorded_kit_counts,jobs_posted,since_last_login
9971,0,1,101-500,1,191.0,0,0.6,1,18,0,0,18,6,2,3
9972,0,1,1-25,0,50.0,0,0.0,1,0,0,0,0,1,1,3
9973,0,1,More than 1000,0,500000.0,1,0.0,1,0,0,0,0,0,0,4
9976,0,1,1-25,1,50.0,0,176.5,1,0,0,0,0,0,0,3
9977,0,1,101-500,1,42.0,0,0.6,1,4,0,0,4,1,1,3
9981,0,0,1-25,0,150.0,0,0.0,1,0,0,0,0,0,0,4
9982,0,1,101-500,0,50.0,0,0.6,1,1,0,0,1,1,1,3
9984,0,1,101-500,0,50.0,0,0.6,1,0,0,0,0,0,0,4
9985,0,1,1-25,1,46.0,0,0.6,2,2,0,0,2,2,2,3
9987,0,1,1-25,1,124.0,0,0.6,1,85,3,0,88,16,11,3
9988,0,1,500-1000,1,4.0,0,176.5,1,24,1,0,25,11,10,2
9990,0,1,1-25,0,150000.0,0,176.5,1,0,0,0,0,1,1,3
9991,0,1,1-25,0,150.0,0,0.0,2,0,0,0,0,0,0,3
9993,0,1,1-25,1,294.0,0,1.8,1,60,4,0,64,3,23,3
9994,0,1,1-25,2,499998.0,1,0.0,1,137,118,36,219,5,24,0
9996,0,1,26-100,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9997,0,1,26-100,1,150.0,0,1.8,1,0,0,0,0,1,1,2
9998,0,1,26-100,0,500000.0,1,117.6,1,0,0,0,0,0,0,3
9999,0,1,101-500,1,85.0,0,2.4,2,1,0,0,1,1,1,3
10000,0,1,More than 1000,1,500000.0,1,117.6,1,9,0,0,9,3,2,0
10001,0,1,1-25,0,500000.0,1,117.6,1,0,0,0,0,1,0,3
10011,0,1,101-500,2,163.0,0,1.8,1,0,0,0,0,0,0,1
10020,0,1,26-100,1,25.0,0,0.6,1,0,0,0,0,0,0,3
10022,0,1,1-25,0,500000.0,1,120.6,4,2,0,0,2,1,0,2
10023,1,1,1-25,2,280.0,0,4.8,4,38,67,32,73,29,7,0
10024,0,0,101-500,0,150.0,0,1.8,1,0,0,0,0,0,0,3
10025,0,1,101-500,0,500000.0,1,11.8,1,0,0,0,0,0,0,3
10027,0,1,1-25,0,190.0,0,208.2,1,0,0,0,0,0,0,3
10028,1,1,1-25,2,213.0,0,0.0,2,19,1,0,20,4,1,3
10030,0,0,1-25,0,150.0,0,0.0,1,0,0,0,0,0,0,3
10034,1,1,101-500,0,145.0,0,0.6,1,1,0,0,1,1,0,3
10037,0,1,500-1000,0,49.0,0,0.0,1,0,0,0,0,0,0,3
10044,0,1,26-100,1,50.0,0,0.6,1,0,0,0,0,0,0,2
10046,0,1,101-500,0,45.0,0,0.6,1,3,0,0,3,1,1,2
10047,0,1,26-100,0,150.0,0,1.8,1,0,0,0,0,0,0,2
10048,0,1,26-100,0,150.0,0,294.1,1,1,0,0,1,1,0,2
10049,0,1,26-100,0,44.0,0,0.6,1,1,1,0,2,1,1,4
10050,0,1,1-25,0,49.0,0,176.5,1,0,0,0,0,2,1,3
10051,0,1,26-100,0,44.0,0,0.6,1,0,0,0,0,1,1,2
10052,0,1,26-100,0,150.0,0,1.8,1,29,4,0,33,1,2,2
10053,0,1,1-25,0,50.0,0,176.5,1,0,0,0,0,0,0,3
10054,0,1,26-100,0,50.0,0,0.6,1,0,0,0,0,0,0,3
10055,0,1,26-100,0,45.0,0,0.6,1,2,3,0,5,4,4,2
10056,0,1,26-100,2,499970.0,1,117.6,1,157,119,17,259,43,30,0
10058,0,1,1-25,2,154.0,0,4.2,3,143,5,0,148,57,39,0
